District,State,Zone
Kheri,Uttar Pradesh,Green Zone
Hathras,Uttar Pradesh,Green Zone
Maharajganj,Uttar Pradesh,Green Zone
Shahjahanpur,Uttar Pradesh,Green Zone
Ambedkar Nagar,Uttar Pradesh,Green Zone
Ballia,Uttar Pradesh,Green Zone
Chandauli,Uttar Pradesh,Green Zone
Chitrakoot,Uttar Pradesh,Green Zone
Deoria,Uttar Pradesh,Green Zone
Farrukhabad,Uttar Pradesh,Green Zone
Fatehpur,Uttar Pradesh,Green Zone
Hamirpur,Uttar Pradesh,Green Zone
Kanpur Dehat,Uttar Pradesh,Green Zone
Kushi Nagar,Uttar Pradesh,Green Zone
Lalitpur,Uttar Pradesh,Green Zone
Mahoba,Uttar Pradesh,Green Zone
Siddharth Nagar,Uttar Pradesh,Green Zone
Sonbhadra,Uttar Pradesh,Green Zone
Amethi,Uttar Pradesh,Green Zone
Haridwar,Uttarakhand,Red Zone
Dehradun,Uttarakhand,Orange Zone
Nainital,Uttarakhand,Orange Zone
Udham Singh Nagar,Uttarakhand,Green Zone
Almora,Uttarakhand,Green Zone
Pauri Garhwal,Uttarakhand,Green Zone
Bageshwar,Uttarakhand,Green Zone
Chamoli,Uttarakhand,Green Zone
Champawat,Uttarakhand,Green Zone
Pithoragarh,Uttarakhand,Green Zone
Rudraprayag,Uttarakhand,Green Zone
Tehri Garhwal,Uttarakhand,Green Zone
Uttarkashi,Uttarakhand,Green Zone
Kolkata,West Bengal,Red Zone
Howrah,West Bengal,Red Zone
North 24 Parganas,West Bengal,Red Zone
South 24 Parganas,West Bengal,Red Zone
Paschim Medinipur (West Midnapore),West Bengal,Red Zone
Purba Medinipur (East Midnapore),West Bengal,Red Zone
Darjeeling,West Bengal,Red Zone
Jalpaiguri,West Bengal,Red Zone
Kalimpong,West Bengal,Red Zone
Malda,West Bengal,Red Zone
Hooghly,West Bengal,Orange Zone
Paschim Bardhaman,West Bengal,Orange Zone
Nadia,West Bengal,Orange Zone
Purba Bardhaman,West Bengal,Orange Zone
Murshidabad,West Bengal,Orange Zone
Uttar Dinajpur,West Bengal,Geen Zone
Bankura,West Bengal,Geen Zone
Birbhum,West Bengal,Geen Zone
Cooch Behar,West Bengal,Geen Zone
Dakshin Dinajpur,West Bengal,Geen Zone
Purulia,West Bengal,Geen Zone
Alipurduar,West Bengal,Geen Zone
Jhargram,West Bengal,Geen Zone
