District,State,Zone
Nawada,Bihar, Orange Zone
Lakhisarai,Bihar, Orange Zone
Banka,Bihar, Orange Zone
Vaishali,Bihar, Orange Zone
Darbhanga,Bihar, Orange Zone
Jehanabad,Bihar, Orange Zone
Madhepura,Bihar, Orange Zone
Purnia,Bihar, Orange Zone
Sheikhpura,Bihar,Green Zone
Araria,Bihar,Green Zone
Jamui,Bihar,Green Zone
Katihar,Bihar,Green Zone
Khagaria,Bihar,Green Zone
Kishanganj,Bihar,Green Zone
Muzaffarpur,Bihar,Green Zone
Pashchim Champaran (West Champaran),Bihar,Green Zone
Saharsa,Bihar,Green Zone
Samastipur,Bihar,Green Zone
Sheohar,Bihar,Green Zone
Sitamarhi,Bihar,Green Zone
Supaul,Bihar,Green Zone
Chandigarh,Chandigarh,Red Zone
Raipur,Chhattisgarh,Red Zone
Korba,Chhattisgarh,Orange Zone
Surajpur,Chhattisgarh,Green Zone
Bilaspur,Chhattisgarh,Green Zone
Durg,Chhattisgarh,Green Zone
Rajnandgaon,Chhattisgarh,Green Zone
Basta,Chhattisgarh,Green Zone
Dantewada,Chhattisgarh,Green Zone
Dhamtari,Chhattisgarh,Green Zone
Janjgir-Champa,Chhattisgarh,Green Zone
Jashpur,Chhattisgarh,Green Zone
Kanker,Chhattisgarh,Green Zone
Kabirdham,Chhattisgarh,Green Zone
Korea (Koriya),Chhattisgarh,Green Zone
Mahasamund,Chhattisgarh,Green Zone
Raigarh,Chhattisgarh,Green Zone
Surguia,Chhattisgarh,Green Zone
Bijapur,Chhattisgarh,Green Zone
Nayaranpur,Chhattisgarh,Green Zone
Sukma,Chhattisgarh,Green Zone
Kondagaon,Chhattisgarh,Green Zone
Baloda Bazar,Chhattisgarh,Green Zone
Garivaband,Chhattisgarh,Green Zone
Balod,Chhattisgarh,Green Zone
Munseli,Chhattisgarh,Green Zone
Balrampur,Chhattisgarh,Green Zone
Bemetara,Chhattisgarh,Green Zone
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Green Zone
Daman,Daman And Diu,Green Zone
Diu,Daman And Diu,Green Zone
South East Delhi,Delhi,Red Zone
Central Delhi,Delhi,Red Zone
North Delhi,Delhi,Red Zone
South Delhi,Delhi,Red Zone
North East Delhi,Delhi,Red Zone
West Delhi,Delhi,Red Zone
Shahdara,Delhi,Red Zone
East Delhi,Delhi,Red Zone
New Delhi,Delhi,Red Zone
North West Delhi,Delhi,Red Zone
South West Delhi,Delhi,Red Zone
North Goa,Goa,Green Zone
South Goa,Goa,Green Zone
Ahmedabad,Gujarat,Red Zone
Surat,Gujarat,Red Zone
Vadodara,Gujarat,Red Zone
Anand,Gujarat,Red Zone
Banaskantha,Gujarat,Red Zone
Panchmahal,Gujarat,Red Zone
Bhavnagar,Gujarat,Red Zone
Gandhinagar,Gujarat,Red Zone
Aravalli,Gujarat,Red Zone
Rajkot,Gujarat,Orange Zone
Bharuch,Gujarat,Orange Zone
Botad,Gujarat,Orange Zone
Narmada,Gujarat,Orange Zone
Chhota Udaipur (Chhotaudepur),Gujarat,Orange Zone
Mahisagar,Gujarat,Orange Zone
Mehsana,Gujarat,Orange Zone
Patan,Gujarat,Orange Zone
Kheda,Gujarat,Orange Zone
Valsad,Gujarat,Orange Zone
Dohad,Gujarat,Orange Zone
Kachchh (Kutch),Gujarat,Orange Zone
Navsari,Gujarat,Orange Zone
Gir Somnath,Gujarat,Orange Zone
Dang,Gujarat,Orange Zone
Sabarkantha,Gujarat,Orange Zone
Tapi,Gujarat,Orange Zone
Jamnagar,Gujarat,Orange Zone
Surendranagar,Gujarat,Orange Zone
Morbi,Gujarat,Green Zone
Amreli,Gujarat,Green Zone
Porbandar,Gujarat,Green Zone
Junagadh,Gujarat,Green Zone
Devbhumi Dwarka (Devbhoomi Dwarka),Gujarat,Green Zone
Sonipat,Haryana,Red Zone
Faridabad,Haryana,Red Zone
Gurugram (Gurgaon),Haryana,Orange Zone
Nuh,Haryana,Orange Zone
Panipat,Haryana,Orange Zone
Panchkula,Haryana,Orange Zone
Palwal,Haryana,Orange Zone
Rohtak,Haryana,Orange Zone
Hisar,Haryana,Orange Zone
Ambala,Haryana,Orange Zone
Jhajjar,Haryana,Orange Zone
Bhiwani,Haryana,Orange Zone
Kaithal,Haryana,Orange Zone
Kurukshetra,Haryana,Orange Zone
Karnal,Haryana,Orange Zone
Jind,Haryana,Orange Zone
Sirsa,Haryana,Orange Zone
Yamunanagar,Haryana,Orange Zone
Fatehabad,Haryana,Orange Zone
Charkhi Dadri,Haryana,Orange Zone
Mahendragarh,Haryana,Green Zone
Rewari,Haryana,Green Zone
Una,Himachal Pradesh,Orange Zone
Chamba,Himachal Pradesh,Orange Zone
Hamirpur,Himachal Pradesh,Orange Zone
Kangra,Himachal Pradesh,Orange Zone
Sirmaur,Himachal Pradesh,Orange Zone
Solan,Himachal Pradesh,Orange Zone
Bilaspur,Himachal Pradesh,Green Zone
Kinnaur,Himachal Pradesh,Green Zone
Kullu,Himachal Pradesh,Green Zone
Lahul and Spiti,Himachal Pradesh,Green Zone
Mandi,Himachal Pradesh,Green Zone
Shimla,Himachal Pradesh,Green Zone
Bandipora,Jammu And Kashmir,Red Zone
Shopian,Jammu And Kashmir,Red Zone
Anantnag,Jammu And Kashmir,Red Zone
Srinagar,Jammu And Kashmir,Red Zone
Baramulla,Jammu And Kashmir,Orange Zone
Kupwara,Jammu And Kashmir,Orange Zone
